text,label
"	
What's the teacher doing, Richard?
She is calling the roll, Jennifer.
What does it mean?
It is to check who is in class today.
What should I do?
When she calls your name, say ""here.""
What is that for?
So that she knows you are here today.",A1
"The man suspected of trying to attack the Dutch royal family by crashing his car near their bus has died, Dutch police said Friday.
A car is pictured after crashing into the crowd waiting for the visit of the royal family in Apeldoorn.
The man, whose name was not released, had been seriously injured in the crash Thursday in the town of Apeldoorn, about 45 miles east of Amsterdam, police said. He died early Friday, police said.
He had been charged with trying to attack the royal family, authorities said. Were you there ? Send us your video, images
Police searched the man's house but found no weapons, explosives, or any other clues that could lead to the involvement of other people, police said.
Five people, as well as the driver, were killed and 12 were wounded in the incident, which happened during the country's annual Queen's Day celebration, police said.
Crowds had lined the streets to see Queen Beatrix and her family ride by in an open-top bus during the Netherlandsannual holiday. See who the Dutch royal family are 
As the bus moved along, a black hatchback zoomed past it. The crowds were behind barriers off the road, but security officials and journalists, including many cameramen, were in the road as the car went by.
The car crashed into the low metal railing around a column on the side of the road. The vehicle appeared heavily damaged even before the crash, but the reason for that was unclear.
There was no one other than the driver in the car at the time, police spokeswoman Esther Naber said.
Members of the royal family saw the crash and gasped, then quickly sat down as the bus continued driving.
The attack caused outrage in the Netherlands, newspapers Friday widely expressing disbelief and suggesting the monarchy would have to change.
 Queens Day will never be the same, the Trouw newspaper said. The Netherlands always has been proud of their no nonsense royal family. With this comes a Queen who not only cycles a bike, but also mixes with people without obvious security measurements. Is that still possible now the royal family has been the target of an attack ? 
The Algemeen Dagblad newspaper agreed.
 What is going to happen on the 30th of April next year ? And will we continue to see the members of the royal family cycling through the canals of Amsterdam or hunting for bargains in the Bijenkorf in The Hague ? 
Queen's Day is a national holiday in the Netherlands, the Netherlands Antilles, and Aruba. The tradition started in 1885 and celebrates the birthday of the queen.
Although Queen Beatrix's birthday is January 31, she officially celebrates her birthday April 30, according to the Dutch government.
Queen's Day is known for its free market all over the country, where anybody is allowed to sell things in the streets. Other activities include children's games and musical performances.
The day is marked with the color orange all over the country as a reference to the colors of the royal family, who come from the House of Orange-Nassau.
Emmy Dexel contributed to this report.
",B1
"Many years ago, one of the best ways to spend a Saturday night with your girlfriend was to take her to the drive-in. Drive-in theaters were first opened in Southern California because of the car culture that exists here. People could go see a movie in the comfort and privacy of their own car. I remember the first time I went to a drive-in. I was 18 years old and was dating my future wife Caroline. We went on a double-date with my best friend Alfred and his girl Jeannie. The drive-in we visited that night was called the Starlight. It was close to home, and it had the best sound system of all the drive-ins. It also had a huge screen. We went to see ""Forrest Gump"" that night, mainly because Carol wanted to see it. ""I heard it is a great movie,"" she said. I really didn't know anything about the movie, but I did want to see something.
 
""Forrest Gump"" was indeed one of the best movies ever made. It had everything -- humor, drama, tragedy, and triumph. It is a great film. Watching it that night under the stars with Carol on my arm was the greatest night. ""I tell you babe, I was wrong about this movie. I really liked it,"" I said. She just smiled and gave me a hug. Alfred and Jeannie were busy kissing in the back seat, which is another advantage of going to a drive-in.
Those old drive-ins were around for decades, but soon after ""Forrest Gump"" came out, many of them started closing. They closed because of the new multiplex theaters popping up all over the country. People had a choice of many films to watch at those theaters, and soon the drive-in was gone.  In Los Angeles, there is only one remaining drive-in I know of -- the Vineland. There might be more, but I don't know where. It is sad to see them go, but the memories are still with me.",A2
"Four positive books about the world
Factfulness – Hans Rosling with Ola Rosling and Anna Rosling Rönnlund
In Factfulness, Professor Hans Rosling, along with two collaborators, asks simple questions about the world. Questions like 'How many girls finish school?' and 'What percentage of the world's population is poor?' It turns out the majority of us get the answers to these questions completely wrong. Why does this happen? Factfulness sets out to explain why, showing that there are several instincts humans have that distort our perspective.
For example, most people divide the world into US and THEM. In addition, we often believe that things are getting worse. And we are consuming large amounts of media that use a sales model based on making us afraid.
But according to the authors, the world isn't as bad as we think. Yes, there are real concerns. But we should adopt a mindset of factfulness – only carrying opinions that are supported by strong facts. This book is not concerned with the underlying reasons for poverty or progress, or what should be done about these issues. It focuses on our instinctive biases, offering practical advice to help us see the good as well as the bad in the world.
 
Enlightenment Now – Steven Pinker
Are things getting worse every day? Is progress an impossible goal? In Enlightenment Now, Steven Pinker looks at the big picture of human progress and finds good news. We are living longer, healthier, freer and happier lives.
Pinker asks us to stop paying so much attention to negative headlines and news that declares the end of the world. Instead, he shows us some carefully selected data. In 75 surprising graphs, we see that safety, peace, knowledge and health are getting better all over the world. When the evidence does not support his argument, however, he dismisses it. Economic inequality, he claims, is not really a problem, because it is not actually that important for human well-being. One cannot help wondering how many people actually living in poverty would agree.
The real problem, Pinker argues, is that the Enlightenment values of reason and science are under attack. When commentators and demagogues appeal to people's tribalism, fatalism and distrust, then we are in danger of causing irreparable damage to important institutions like democracy and world co-operation.  
 
The Rational Optimist – Matt Ridley
For more than two hundred years the pessimists have been winning the public debate. They tell us that things are getting worse. But in fact, life is getting better. Income, food availability and lifespan are rising; disease, violence and child mortality are falling. These trends are happening all around the world. Africa is slowly coming out of poverty, just as Asia did before. The internet, mobile phones and worldwide trade are making the lives of millions of people much better.
Best-selling author Matt Ridley doesn't only explain how things are getting better; he gives us reasons why as well. He shows us how human culture evolves in a positive direction thanks to the exchange of ideas and specialisation. This bold book looks at the entirety of human history – from the Stone Age to the 21st century – and changes the notion that it's all going downhill. The glass really is half-full.
 
The Great Surge – Steven Radelet
The majority of people believe that developing countries are in a terrible situation: suffering from incredible poverty, governed by dictators and with little hope for any meaningful change. But, surprisingly, this is far from the truth. The reality is that a great transformation is occurring. Over the past 20 years, more than 700 million people have increased their income and come out of poverty. Additionally, six million fewer children die every year from disease, millions more girls are in school and millions of people have access to clean water.
This is happening across developing countries around the world. The end of the Cold War, the development of new technologies and brave new leadership have helped to improve the lives of hundreds of millions of people in poor countries.
The Great Surge describes how all of this is happening and, more importantly, it shows us how we can accelerate the process.",C1
"From: Paco
To: Maria
Subject: Thanks
Hi Maria,
I hope you're well.
I'm just writing to say thanks for your help on the project last month. We really appreciate you stepping in to support us. I know you had to put in extra hours to catch up on your own work, so thank you very much.  
Your expertise was vital for this project and we couldn't have finished it successfully without you. You really helped us and we hope to work with you again on future projects.
I'll be in touch again soon about possible future collaborations. I look forward to working with you more closely this year.
All the best,
Paco",B1
"Hedge funds are turning bullish on oil once again, betting the pandemic and investors’ environmental focus has severely damaged companies’ ability to ramp up production.
The view is a reversal for hedge funds, which shorted the oil sector in the lead-up to global shutdowns, landing energy focused hedge funds gains of 26.8% in 2020, according to data from eVestment. By virtue of their fast-moving strategies, hedge funds are quick to spot new trends.
Global oil benchmark Brent has jumped 59% since early November when news of successful vaccines emerged, after COVID-19 travel curbs and lockdowns last year hammered fuel demand and collapsed oil prices. Last week it hit pre-pandemic levels close to $60 a barrel.
U.S. crude has climbed 54% to around $57 per barrel during the same period.
“By the summer, the vaccine should be widely provided and just in time for summer travel and I think things are going to go gangbusters,” said David D. Tawil, co-founder at New York-based event-driven hedge fund, Maglan Capital, and interim CEO of Centaurus Energy.
Tawil predicted prices of $70 to $80 a barrel for Brent by the end of 2021 and is investing long independent oil and gas producers.
Hedge funds’ bullish bets come despite the International Energy Agency warning in January a spike in new coronavirus cases will hamper oil demand this year, and a slow economic recovery would delay a full rebound in world energy demand to 2025.
Normally, oil producers would ramp up production as prices increase, but a move by environmentally focused investors from fossil fuels to renewables and caution by lenders leaves them hard-pressed to respond, hedge funds and other investors say.
The pace of output recovery in the United States, the world’s No. 1 oil producer, is forecast to be slow and will not top its 2019 record of 12.25 million barrels per day (bpd) until 2023. Production in 2020 tumbled 6.4% to 11.47 million bpd.
The Organization of the Petroleum Exporting Countries, which has also revised down demand growth, however, still expects output cuts to keep the market in deficit throughout 2021.
Global crude and condensate production was down 8% in December from February 2020, prior to the pandemic’s spread accelerating, according to Rystad Energy.
North America’s output was down 9.5% and Europe’s production declined just 1% over the same time period.
U.S. sanctions against Venezuela and declining oilfields in Mexico have kept oil output from Latin America sluggish.
Some banks are forecasting the United States, which leads with the number of COVID-19 cases, to reach herd immunity by July, which would greatly stimulate oil demand, said Jean-Louis Le Mee, head of London-based hedge fund Westbeck Capital Management, which is long a mix of oil futures and equities.
“Oil companies, for the first time in a long time, are likely to make a big comeback,” he said. “We have all the ingredients for an extraordinary bull market in oil for the next few years.”
In the United States, hedge funds increased their allocation to Exxon Mobil Corp by 21,314 shares in the third quarter, the most recent U.S. filings compiled by Symmetric.io showed.
Hedge funds added another 9,070 shares of U.S. majors ConocoPhillips and 4,144 to Chevron Corp over the same time period.
Elsewhere, shorting activity in BP PLC fell by 16 million shares on Feb. 4 but increased slightly in European oil major Royal Dutch Shell Plc by 1.9 million shares, data from FIS’ Astec Analytics showed.
Some investors remain skeptical on Canadian oil companies, among the world’s most carbon-intensive producers, though they are bouncing back faster from the pandemic than the United States.
Current short positions rose in 10 out of 14 Canadian oil companies in the Toronto energy index during the second two weeks of January, according to filings reviewed by Reuters.
U.S. shale production will not quickly rebound, given the capital required and debt producers are carrying, lending oil prices support, said Rafi Tahmazian, senior portfolio manager at Calgary-based Canoe Financial LP.
North America’s oilfield services sector, which producers rely on to drill new wells, has been decimated, he said.
“They’re decapitated from being able to grow,” Tahmazian said. “The supply side is broken.”",C2
There was something wrong with his leg. It burned. But it burned in one spot only. He didn't know what was wrong. The spot was smaller than a dime. It was on the back of his leg. He picked up a hand mirror. He used the hand mirror to look at the back of his leg. He saw a small lump. He put his finger on the lump. The lump was hard. It wasn't a soft lump. The lump felt like a small stone. It was like a small stone under his skin. But it was like a small stone that was on fire. It burned. Something was wrong. He needed to see a doctor.,A1
Nancy took her daughter Donna to the park. The park had lots of trees. It had lots of squirrels and birds. The squirrels ran up and down the trees. The squirrels chased one another. The squirrels played with one another. The birds flew around. They flew down to the ground. They flew up into the trees. The squirrels and birds were good neighbors. Nancy sat down on a bench. She took a magazine out of her purse. She turned the pages of the magazine. Donna ran over to a squirrel. She tried to catch the squirrel. Then she tried to catch a bird. Donna chased the squirrels and birds. She never caught one squirrel. She never caught one bird. But she had a lot of fun.,A2
"Nairobi National Park is a protected ecosystem where various types of wildlife find hiding place. The
park has in the recent past experienced destruction through construction of a standard gauge railway
(SGR) line and a highway called the Southern bypass. These developments raise concern with the
possibility that their combined environmental cost being enormous. This study sought to determine the
willingness to pay (WTP) for the restoration of the park attributes using discrete choice experiment. The
focus was on the attributes of (1) wildlife population and diversity of species, (2) wildlife movement in
dispersion and migration areas, (3) vegetation density and diversity, (4) security of wildlife and people,
and (5) environmental safety and quality. The data used was collected from 93 students of Kisii
University, Nairobi campus. A price attribute in form of an increase in gate fee was included to elicit
WTP estimates. Multinomial logit regression estimates indicated that respondents were WTP for the
restoration of all the attributes except attribute 4. Attributes 1 and 2 elicited the highest WTP and could
be the most affected by the two projects. Middle-aged respondents with stable jobs were likely to pay
more for the restoration of the attributes compared to students and the youth. Based on the findings,
the government could consider relocating the park to a place with better environmental attributes.
Key words: Nairobi National Park, ecosystem, discrete choice experiment, willingness to pay, park attributes,
Multinomial logit.
INTRODUCTION
Nairobi National Park (NNP) ecosystem provides
numerous use benefits (direct and indirect) and non-use
benefits that include existence, option and bequest
values. The Millennium Ecosystem Assessment (2005)
defines ecosystem as a complex and dynamic
environment where living organisms (plants, animals and
microorganisms) and non-living organisms interact and
function as a unit. An ecosystem provides services to
human beings that the World Resources Institute (2005)
defines as benefits.
The park is Kenya’s oldest dating back to 1946. It
measures approximately 117 km2
and is situated at 7 km
south of Nairobi’s central business district (GoK, 2012).
Perhaps Kenya is the only country in the world with a
national park in its capital city. According to the Kenya
Wildlife Service (KWS), the park is home to over 100
mammalian species including the endangered black
rhino, four of the big five wildlife (lion, buffalo, leopard
*Corresponding author. E-mail: mercy.godwille@gmail.com.
Author(s) agree that this article remain permanently open access under the terms of the Creative Commons Attribution
License 4.0 International License
28 J. Dev. Agric. Econ.
and rhino) and over 400 species of migratory and
endemic bird species. The park also, provides sites for
wildlife and bird viewing, picnics, campsites and walking
trails. The park currently charges gate fee of Ksh 430 to
citizens and Ksh 4300 to foreigners. Approximately
278,700 tourists, both local and international, visited the
park in 2017, this makes the park a significant contributor
to the tourism industry (KNBS, 2018).
Nairobi National Park is protected and regulated by The
Constitution of Kenya (2010), the Wildlife Conservation
and Management Act (2013) and the Environmental
Management and Conservation Act (1999). These
statutes provide the legal framework for protection,
sustainable management and use of the country’s
environment and natural resources (GoK, 1999, 2010,
2013).",C2
"During the 1936 Olympic Games in Berlin, Germany, Chancellor Adolf Hitler vowed to use the games to showcase Aryan superiority to the rest of the world. Hitler was convinced that the white, Aryan male was part of the superior race, and promised his games would prove this superiority on the Olympic stage. American track and field athlete, James ""Jesse"" Owens, had a different idea.
 
Owens was an excellent athlete at Ohio State University during the early 1930s. During one track meet in 1935, Owens set three world records, and tied another, in what has been called ""the greatest 45 minutes ever in sports."" Although Owens found great success in his athletic career, he grew up during a time in America when black people were still highly discriminated against. Segregation laws were still in effect in many parts of the country, and Owens felt this prejudice directly. He was not able to stay in the same hotel rooms as his white teammates, nor was he allowed to eat at the same restaurants. Ironically, Owens was treated better during his time at the 36th Olympics in Germany.
During the games, Hitler became annoyed that Owens was winning so many gold medals. Owens was proving Hitler's racist claims and rhetoric as untrue. Hitler didn't like it. Owens ended up winning four gold medals at these games. Hitler refused to shake his hand. One of the defining moments of the games is when Owens was befriended by German athlete Luz Long. Owens cherished his friendship with Long, especially because he knew that Long could fall out of favor with Hitler's brutal regime.
Many German fans shook Owen's hands, even though Hitler did not, but when Owens returned to the United States, he found not much had changed in there.",B1
